"country","region","happiness_rank","happiness_score","standard_error","gdp_per_capita","family","life_expectancy","freedom","trust_government","generosity","dystopia_residual","year"
"Mauritius",NA,64,5.62900018692017,NA,5.72986219167709,5.52813818216324,1.18939554691315,1.20956099033356,0.491247326135635,0.638007462024689,NA,2017
"Cyprus",NA,65,5.62099981307983,NA,5.71469269931316,5.5273069268465,1.35593807697296,1.13136327266693,0.355111539363861,0.84471470117569,NA,2017
"Estonia",NA,66,5.61100006103516,NA,5.68813987419009,5.53386024788022,1.32087934017181,1.47667109966278,0.479131430387497,0.695168316364288,NA,2017
"Belarus",NA,67,5.56899976730347,NA,5.64611424401402,5.49188529059291,1.15655755996704,1.44494521617889,0.295400261878967,0.637714266777039,NA,2017
"Libya",NA,68,5.52500009536743,NA,5.67695380687714,5.37304638385773,1.10180306434631,1.35756433010101,0.465733230113983,0.520169019699097,NA,2017
"Turkey",NA,69,5.5,NA,5.59486496329308,5.40513503670692,1.19827437400818,1.33775317668915,0.300740599632263,0.637605607509613,NA,2017
"Paraguay",NA,70,5.49300003051758,NA,5.57738126963377,5.40861879140139,0.932537317276001,1.50728487968445,0.473507791757584,0.579250693321228,NA,2017
"Hong Kong S.A.R., China",NA,71,5.47200012207031,NA,5.54959417313337,5.39440607100725,1.55167484283447,1.26279091835022,0.490968644618988,0.943062424659729,NA,2017
"Philippines",NA,72,5.42999982833862,NA,5.54533505424857,5.31466460242867,0.85769921541214,1.25391757488251,0.585214674472809,0.468009054660797,NA,2017
"Serbia",NA,73,5.39499998092651,NA,5.49156965613365,5.29843030571938,1.06931757926941,1.25818979740143,0.208715528249741,0.65078467130661,NA,2017
"Jordan",NA,74,5.33599996566772,NA,5.44841002240777,5.22358990892768,0.991012394428253,1.23908889293671,0.418421149253845,0.604590058326721,NA,2017
"Hungary",NA,75,5.32399988174438,NA,5.40303970918059,5.24496005430818,1.2860119342804,1.34313309192657,0.175863519310951,0.687763452529907,NA,2017
"Jamaica",NA,76,5.31099987030029,NA,5.58139872848988,5.04060101211071,0.925579309463501,1.36821806430817,0.474307239055634,0.641022384166718,NA,2017
"Croatia",NA,77,5.29300022125244,NA,5.39177720457315,5.19422323793173,1.22255623340607,0.96798300743103,0.255772292613983,0.701288521289825,NA,2017
"Kosovo",NA,78,5.27899980545044,NA,5.36484799548984,5.19315161541104,0.951484382152557,1.13785350322723,0.260287940502167,0.541452050209045,NA,2017
"China",NA,79,5.27299976348877,NA,5.31927808977663,5.2267214372009,1.08116579055786,1.16083741188049,0.472787708044052,0.741415500640869,NA,2017
